stop_id,stop_code,stop_name,stop_lat,stop_lon
3619,3619,NB 52 ST @ McIvor BV SE,50.913297,-113.952564
3620,3620,SB 52 ST @ McIvor BV SE,50.912123,-113.951306
3625,3625,NB Chaparal DR @ 194 AV SE,50.877706,-114.036811
3626,3626,WB 69 Street CTrain Station,51.037596,-114.188479
3627,3627,EB 69 Street CTrain Station,51.037507,-114.188475
3628,3628,WB Sirocco CTrain Station,51.038162,-114.1696
3629,3629,EB Sirocco CTrain Station,51.038105,-114.169484
3630,3630,WB 45 Street CTrain Station,51.037942,-114.153369
3631,3631,EB 45 Street CTrain Station,51.037868,-114.15358
3632,3632,WB Westbrook CTrain Station,51.040547,-114.136596
3633,3633,EB Westbrook CTrain Station,51.040433,-114.136348
3634,3634,WB Shaganappi Point CTrain Station,51.041603,-114.124256
3635,3635,EB Shaganappi Point CTrain Station,51.041512,-114.124176
3636,3636,WB Sunalta CTrain Station,51.044675,-114.098157
3637,3637,EB Sunalta CTrain Station,51.044559,-114.098121
3638,3638,WB Downtown - West Kerby CTrain Station,51.04723,-114.087697
3639,3639,EB Downtown West - Kerby CTrain Station,51.047123,-114.087684
3640,3640,NB Tuscany CTrain Station,51.13451,-114.235512
3641,3641,SB Tuscany CTrain Station,51.134439,-114.235681
3642,3642,SB 52 ST SE @ 90 AV SE,50.971989,-113.958537
3643,3643,NB 52 ST SE@ Dufferin PL SE,50.958049,-113.958149
3644,3644,NB 52 ST SE @ Dufferin BV SE,50.954384,-113.958151
3645,3645,Westbrook LRT Station WB,51.040765,-114.136517
3646,3646,WB 112 AV NW @ 110 AV NW,51.154255,-114.190724
3647,3647,WB 112 AV NW @ 76 ST NW,51.154293,-114.196876
3648,3648,WB Quarry Park BV @ Quarry LK SE,50.959531,-114.013682
3650,3650,Canyon Meadows Stn (NB Lake Fraser Dr),50.93702,-114.066841
3651,3651,Canyon Meadows Stn (SB Lake Fraser Dr),50.936489,-114.06666
3652,3652,EB 90 AV SE @ 38 ST SE,50.972177,-113.978389
3670,3670,EB 194 AV SE @ Walden GA SE,50.877187,-114.035438
3678,3678,SB Symons Valley RD @ Kincora Glen RD NW,51.165208,-114.130157
3679,3679,SB Hamptons DR @ Hampstead GV NW,51.142929,-114.131267
3680,3680,EB Hamptons DR @ Hampstead TC NW,51.144698,-114.133635
3681,3681,EB Hamptons DR @ Hampstead RI NW,51.144619,-114.136201
3682,3682,EB Hamptons DR @ Hamptons LI NW,51.145177,-114.139221
3683,3683,EB Hamptons DR @ Hamptons HT NW,51.147655,-114.14331
3684,3684,NB Hamptons DR @ Hamptons RI NW,51.147452,-114.149702
3685,3685,NB Hamptons DR @ Hamptons BV NW,51.1445,-114.151188
3686,3686,NB Hamptons BV @ Hamptons TC NW,51.143916,-114.147428
3687,3687,NB  Hamptons BV @ Hampstead WY NW,51.141262,-114.14483
3688,3688,SB Evanston VW @ Evansbrooke WY NW,51.166567,-114.12157
3689,3689,EB Evanston VW @ Evansbrooke LI NW,51.164535,-114.119992
3690,3690,EB Evanston VW @ Evanston RI NW,51.164264,-114.117595
